IATA,Direction,Name,City,Country,Airlines,lat,lon,Distance_km,FlightTime_hr
BUD,D,Budapest,Budapest,Hungary,"['Arkia Israeli Airlines', 'Blue Bird Airways', 'El Al Israel Airlines', 'Israir Airlines', 'Wizzair']",47.4369,19.2556,2166.3,3h 9m
SOF,A,Sofia,Sofia,Bulgaria,"['Arkia Israeli Airlines', 'Blue Bird Airways', 'Bulgaria Air', 'El Al Israel Airlines', 'Israir Airlines', 'Wizzair']",42.69669,23.41144,1559.3,2h 27m
LTN,A,Luton,London Luton,United Kingdom,"['El Al Israel Airlines', 'Israir Airlines', 'Wizz Uk']",51.8747,-0.36833,3605.4,4h 50m
DXB,A,Dubai,Dubai,United Arab Emirates,"['Arkia Israeli Airlines', 'El Al Israel Airlines', 'Emirates', 'Flydubai', 'Israir Airlines']",25.2528,55.3644,2133.5,3h 7m
ATH,A,Athens,Athens,Greece,"['Aegean Airlines', 'Air Serbia', 'Arkia Israeli Airlines', 'Blue Bird Airways', 'El Al Israel Airlines', 'Emirates', 'Fly Lili', 'Israir Airlines', 'Wizz Air Malta']",37.9364,23.9445,1194.9,2h
GYD,A,Baku Heydar Aliyev Int`l,Baku,Azerbaijan,"['Arkia Israeli Airlines', 'Azerbaijan Airlines', 'El Al Israel Airlines', 'Israir Airlines']",40.4675,50.0467,1651.1,2h 34m
DXB,D,Dubai,Dubai,United Arab Emirates,"['Arkia Israeli Airlines', 'El Al Israel Airlines', 'Emirates', 'Flydubai', 'Israir Airlines']",25.2528,55.3644,2133.5,3h 7m
DME,A,Moscow-domodedovo,Moscow,Russian Federation,"['El Al Israel Airlines', 'Red Wings Airlines']",55.4088,37.9063,2610.9,3h 40m
FRA,A,Frankfurt,Frankfurt,Germany,"['Air Canada', 'All Nippon Airways', 'Brussels Airlines', 'Delta Airlines', 'El Al Israel Airlines', 'Lufthansa', 'Sas', 'United Airlines']",50.0264,8.54313,2956.9,4h 5m
MUC,A,Munich,Munich,Germany,"['Brussels Airlines', 'El Al Israel Airlines', 'Lufthansa', 'Sas', 'United Airlines']",48.3538,11.7861,2657.1,3h 44m
AUH,A,Abu Dhabi,Abu Dhabi,United Arab Emirates,"['China Eastern Airlines Co. Ltd', 'El Al Israel Airlines', 'Etihad Airways', 'Srilanka Airlines']",24.433,54.6511,2109.6,3h 5m
LIS,A,Lisbon,Lisbon,Portugal,"['Air Portugal', 'Arkia Israeli Airlines', 'El Al Israel Airlines']",38.7813,-9.13592,4029.8,5h 20m
EWR,D,New York - Newark,Newark,United States,"['Delta Airlines', 'El Al Israel Airlines', 'Jetblue Airways Corporation', 'United Airlines']",40.69248,-74.16869,9160.4,11h 23m
GYD,D,Baku Heydar Aliyev Int`l,Baku,Azerbaijan,"['Arkia Israeli Airlines', 'Azerbaijan Airlines', 'El Al Israel Airlines', 'Israir Airlines']",40.4675,50.0467,1651.1,2h 34m
LCA,A,Larnaca,Larnaca,Cyprus,"['Aegean Airlines', 'Air Haifa', 'Arkia Israeli Airlines', 'Cyprus Airways', 'El Al Israel Airlines', 'Israir Airlines', 'K.l.m.', 'Tus Airways', 'Wizzair']",34.8751,33.6249,339.0,0h 53m
LCA,D,Larnaca,Larnaca,Cyprus,"['Aegean Airlines', 'Air Canada', 'All Nippon Airways', 'Arkia Israeli Airlines', 'Brussels Airlines', 'Cyprus Airways', 'El Al Israel Airlines', 'Israir Airlines', 'Lufthansa', 'Tus Airways', 'United Airlines', 'Wizzair']",34.8751,33.6249,339.0,0h 53m
DME,D,Moscow-domodedovo,Moscow,Russian Federation,"['El Al Israel Airlines', 'Red Wings Airlines']",55.4088,37.9063,2610.9,3h 40m
ADD,D,Addis Ababa,Addis Ababa,Ethiopia,"['El Al Israel Airlines', 'Ethiopian Airlines']",8.97789,38.7993,2581.7,3h 38m
AUH,D,Abu Dhabi,Abu Dhabi,United Arab Emirates,"['China Eastern Airlines Co. Ltd', 'El Al Israel Airlines', 'Etihad Airways', 'Srilanka Airlines']",24.433,54.6511,2109.6,3h 5m
VIE,A,Vienna,Vienna,Austria,"['Air Canada', 'All Nippon Airways', 'Austrian Airlines', 'Blue Bird Airways', 'El Al Israel Airlines', 'Wizz Air Malta']",48.1103,16.5697,2362.2,3h 23m
ADD,A,Addis Ababa,Addis Ababa,Ethiopia,"['El Al Israel Airlines', 'Ethiopian Airlines']",8.97789,38.7993,2581.7,3h 38m
WAW,A,Warsaw,Warsaw,Poland,"['El Al Israel Airlines', 'Enter Air- E4', 'Lot Polish Airlines', 'Wizzair']",52.1657,20.9671,2507.9,3h 33m
ZRH,A,Zurich,Zurich,Switzerland,"['El Al Israel Airlines', 'Sas', 'Swiss Int`l Airlines']",47.4647,8.54917,2812.4,3h 55m
LHR,A,London - Heathrow,London,United Kingdom,"['Aero Mexico', 'British Airways Plc', 'Delta Airlines', 'El Al Israel Airlines', 'Sas', 'Virgin Atlantic Airways']",51.4706,-0.46194,3593.4,4h 50m
PRG,A,Prague-ruzyne,Prague,Czech Republic,"['Arkia Israeli Airlines', 'El Al Israel Airlines', 'Israir Airlines', 'Smartwings', 'Tus Airways']",50.1008,14.26,2635.9,3h 42m
AMS,A,Amsterdam,Amsterdam,Netherlands,"['Aero Mexico', 'Arkia Israeli Airlines', 'El Al Israel Airlines', 'K.l.m.', 'Sas']",52.3086,4.76389,3315.3,4h 30m
AMS,D,Amsterdam,Amsterdam,Netherlands,"['Aero Mexico', 'Arkia Israeli Airlines', 'El Al Israel Airlines', 'K.l.m.', 'Sas']",52.3086,4.76389,3315.3,4h 30m
WAW,D,Warsaw,Warsaw,Poland,"['El Al Israel Airlines', 'Enter Air- E4', 'Lot Polish Airlines', 'Wizzair']",52.1657,20.9671,2507.9,3h 33m
VIE,D,Vienna,Vienna,Austria,"['Air Canada', 'All Nippon Airways', 'Austrian Airlines', 'El Al Israel Airlines', 'Wizz Air Malta']",48.1103,16.5697,2362.2,3h 23m
ATH,D,Athens,Athens,Greece,"['Aegean Airlines', 'Air Serbia', 'Arkia Israeli Airlines', 'Blue Bird Airways', 'El Al Israel Airlines', 'Emirates', 'Fly Lili', 'Israir Airlines', 'Swiss Int`l Airlines', 'Wizz Air Malta']",37.9364,23.9445,1194.9,2h
PRG,D,Prague-ruzyne,Prague,Czech Republic,"['Arkia Israeli Airlines', 'El Al Israel Airlines', 'Israir Airlines', 'Smartwings', 'Tus Airways']",50.1008,14.26,2635.9,3h 42m
LHR,D,London - Heathrow,London,United Kingdom,"['Aero Mexico', 'British Airways Plc', 'Delta Airlines', 'El Al Israel Airlines', 'Sas', 'Virgin Atlantic Airways']",51.4706,-0.46194,3593.4,4h 50m
IAS,A,Iasi,Iasi,Romania,['Wizz Air Malta'],47.1785,27.6206,1794.4,2h 45m
OTP,A,Bucharest - Otopeni,Bucharest,Romania,"['Anima Wings Aviation', 'El Al Israel Airlines', 'Flyone Romania', 'Hisky Europe Srl', 'Tarom - Romanian Air Transport', 'Wizz Air Malta']",44.5722,26.1022,1590.2,2h 29m
EWR,A,New York - Newark,Newark,United States,"['Delta Airlines', 'El Al Israel Airlines', 'Jetblue Airways Corporation', 'United Airlines']",40.69248,-74.16869,9160.4,11h 23m
SKG,D,Thessaloniki,Thessaloniki,Greece,"['Aegean Airlines', 'Arkia Israeli Airlines', 'Israir Airlines', 'Wizzair']",40.5197,22.9709,1425.4,2h 17m
IAS,D,Iasi,Iasi,Romania,['Wizz Air Malta'],47.1785,27.6206,1794.4,2h 45m
SOF,D,Sofia,Sofia,Bulgaria,"['Arkia Israeli Airlines', 'Blue Bird Airways', 'Bulgaria Air', 'El Al Israel Airlines', 'Wizzair']",42.69669,23.41144,1559.3,2h 27m
BUD,A,Budapest,Budapest,Hungary,"['Arkia Israeli Airlines', 'Blue Bird Airways', 'El Al Israel Airlines', 'Israir Airlines', 'Wizzair']",47.4369,19.2556,2166.3,3h 9m
OTP,D,Bucharest - Otopeni,Bucharest,Romania,"['Anima Wings Aviation', 'El Al Israel Airlines', 'Flyone Romania', 'Hisky Europe Srl', 'Israir Airlines', 'Tarom - Romanian Air Transport', 'Wizz Air Malta']",44.5722,26.1022,1590.2,2h 29m
KRK,A,Krakow,Krakow,Poland,"['El Al Israel Airlines', 'Lot Polish Airlines', 'Wizzair']",50.0777,19.7848,2364.6,3h 23m
BUS,D,Batumi,Batumi,Georgia,"['Arkia Israeli Airlines', 'El Al Israel Airlines', 'Israir Airlines']",41.6103,41.5997,1221.6,2h 2m
NAP,A,Naples-capodichino,Naples,Italy,"['Israir Airlines', 'Wizz Air Malta']",40.886,14.2908,2085.4,3h 3m
PFO,D,Paphos,Paphos,Cyprus,"['Arkia Israeli Airlines', 'El Al Israel Airlines', 'Israir Airlines']",34.718,32.4857,374.5,0h 56m
JFK,A,New York - J.f.kennedy,New York,United States,"['Aero Mexico', 'Arkia Israeli Airlines', 'Delta Airlines', 'El Al Israel Airlines', 'Jetblue Airways Corporation']",40.63993,-73.77869,9137.2,11h 21m
MXP,A,Milan-malpensa,Milan,Italy,"['Air Portugal', 'El Al Israel Airlines', 'Sas', 'Wizz Air Malta']",45.6306,8.72811,2709.3,3h 47m
FCO,A,Rome - Fiumicino,Rome,Italy,"['Aerolineas Argentinas S.a.', 'Air Portugal', 'Arkia Israeli Airlines', 'El Al Israel Airlines', 'Israir Airlines', 'Sas', 'Tus Airways', 'Wizz Air Malta']",41.8045,12.2508,2281.5,3h 17m
SKG,A,Thessaloniki,Thessaloniki,Greece,"['Aegean Airlines', 'Arkia Israeli Airlines', 'Israir Airlines', 'Wizzair']",40.5197,22.9709,1425.4,2h 17m
KRK,D,Krakow,Krakow,Poland,"['El Al Israel Airlines', 'Lot Polish Airlines', 'Wizzair']",50.0777,19.7848,2364.6,3h 23m
NAP,D,Naples-capodichino,Naples,Italy,"['Israir Airlines', 'Wizz Air Malta']",40.886,14.2908,2085.4,3h 3m
FCO,D,Rome - Fiumicino,Rome,Italy,"['Aerolineas Argentinas S.a.', 'Air Portugal', 'Arkia Israeli Airlines', 'El Al Israel Airlines', 'Israir Airlines', 'Sas', 'Tus Airways', 'Wizz Air Malta']",41.8045,12.2508,2281.5,3h 17m
PFO,A,Paphos,Paphos,Cyprus,"['Arkia Israeli Airlines', 'El Al Israel Airlines', 'Israir Airlines']",34.718,32.4857,374.5,0h 56m
MXP,D,Milan-malpensa,Milan,Italy,"['Air Portugal', 'El Al Israel Airlines', 'Sas', 'Wizz Air Malta']",45.6306,8.72811,2709.3,3h 47m
AER,A,Sochi,Sochi,Russian Federation,"['Azimuth Airlines', 'Red Wings Airlines']",43.4499,39.9566,1345.8,2h 11m
JFK,D,New York - J.f.kennedy,New York,United States,"['Aero Mexico', 'Arkia Israeli Airlines', 'Delta Airlines', 'El Al Israel Airlines', 'Jetblue Airways Corporation']",40.63993,-73.77869,9137.2,11h 21m
ETM,D,Ramon,Ramon,Israel,"['Arkia Israeli Airlines', 'El Al Israel Airlines', 'Israir Airlines']",29.72717,35.01417,253.0,0h 46m
AER,D,Sochi,Sochi,Russian Federation,"['Azimuth Airlines', 'Red Wings Airlines']",43.4499,39.9566,1345.8,2h 11m
CDG,A,Paris-charles De Gaulle,Paris,France,"['Aero Mexico', 'Air France', 'Arkia Israeli Airlines', 'El Al Israel Airlines', 'Sas']",49.0128,2.55,3288.6,4h 28m
BUS,A,Batumi,Batumi,Georgia,"['Arkia Israeli Airlines', 'El Al Israel Airlines', 'Israir Airlines']",41.6103,41.5997,1221.6,2h 2m
TBS,D,Tbilisi,Tbilisi,Georgia,"['Arkia Israeli Airlines', 'El Al Israel Airlines', 'Georgian Airways', 'Israir Airlines']",41.6692,44.9547,1396.7,2h 15m
LTN,D,Luton,London Luton,United Kingdom,"['El Al Israel Airlines', 'Israir Airlines', 'Wizz Uk']",51.8747,-0.36833,3605.4,4h 50m
ETM,A,Ramon,Ramon,Israel,"['Air Haifa', 'Arkia Israeli Airlines', 'El Al Israel Airlines', 'Israir Airlines']",29.72717,35.01417,253.0,0h 46m
ORY,A,Paris-orly,Paris,France,['Transavia France'],48.7253,2.35944,3289.2,4h 28m
LYS,A,Lyon - Satolas,Lyon,France,"['El Al Israel Airlines', 'Transavia France']",45.7264,5.09083,2975.1,4h 6m
RIX,A,Riga,Riga,Latvia,['Air Baltic'],56.9236,23.9711,2893.5,4h
FRA,D,Frankfurt,Frankfurt,Germany,"['Brussels Airlines', 'Delta Airlines', 'El Al Israel Airlines', 'Lufthansa', 'Sas', 'United Airlines']",50.0264,8.54313,2956.9,4h 5m
CDG,D,Paris-charles De Gaulle,Paris,France,"['Aero Mexico', 'Air France', 'Arkia Israeli Airlines', 'El Al Israel Airlines', 'Sas']",49.0128,2.55,3288.6,4h 28m
MUC,D,Munich,Munich,Germany,"['Brussels Airlines', 'El Al Israel Airlines', 'Lufthansa', 'Sas']",48.3538,11.7861,2657.1,3h 44m
